Timestamp,What is your Recitation/Group Number? (E.g. B1-1... double check with your TA/instructor if you're not sure!),Anti-racist solution to address the historical context in which society is situated,Anti-racist solution for the structures/society in which these people are embedded,Anti-racist solution for the people behind the technology,Anti-racist Solution for the racist technology in our case study,How much money would you allocate to your solution for history?,How much money would you allocate to your solution for structures/society?,How much money would you allocate to your solution for the people behind the technology?,How much money would you allocate to your solution for fixing the technology itself?,"Is 100 billion is enough money to address the problem you seek to solve? If so, why? If not, how much more would you need to be successful? Also, if not, which of the 4 categories above would you allocate the majority of the extra funding to and why?"
9/23/2021 10:01:24,B3-1,"Amend laws or create new laws so they account for structural racism throughout history. Problems created in the past that are still affecting people today should be solved in some way with these laws. Based on the actual effects of these laws, they can be amended further if they don’t work as intended. ",Another way to change the American structure/society & change people’s thoughts about society's is to enforce stricter/harder laws and apply consequences that occur between people of color and people of white backgrounds on a race crime committed it. These things should be taken more seriously to allow the government and law enforcement officials to show the community and society that they do not meet their standards on racial status.,Completely get rid of predpol and start the program completely over. Create a blank program without the previously bias proxy variable and instead use a community report system where everyone has the ability to report the area of a crime providing extremely accurate data and allow all crimes to be reported and used in the algorithm rather than the high concentration that were reported in minority areas due to over policing. ,Completely get rid of predpol and start the program completely over. Create a blank program without the previously bias proxy variable and instead use a community report system where everyone has the ability to report the area of a crime providing extremely accurate data and allow all crimes to be reported and used in the algorithm rather than the high concentration that were reported in minority areas due to over policing. ,25,25,25,25,Having no idea how much 100 Billion really is and what its spending power is we would say that most likely it is enough and if its not at that point it should be prioritized to spend more. The category that most extra budget should go to is to solve structural racism as that is the most prevalent source of inequality out of the four categories.
9/23/2021 10:14:04,B3-2,"Another way to address this is to, although it does not relate to the videos, remove public displays that commemorate or praise racist people or ideologies. This sounds like a lot, but it could be smaller than a mass crack down. This would be actions such as moving statues to old confederate leaders in the south from in the middle of a crossway to museums. The past should be remembered, but in many cases in the south and even in some places here in the north it is idolized in statues or other plaques or commemorations. I don't think we should get rid of them, but rather move them into museums or other like grounds where people can clearly connect them to the past instead of seeing them every day. This would help change the public opinion of some strong figures that are still depicted across america if they were properly represented as a part of the past in this manner and may over all lead to less racism, as some people even today hold many statues in high regard.","To change the fact that ""American society has been historically unequal and discriminatory, and structural racism is reproduced over time,"" we must dive deeper into the root of the problem. Following the abolition of slavery, African Americans were met with harsh discrimination and faced new hurdles like  Jim Crow Laws and additional systems meant to oppress black communities. Even following the desegregation of public schools through the ruling of Brown v. Board in 1954, there have been large gaps between the academic success of African-Americans and white Americans. To alter this, America's public education system should be streamlined in order to level the playing field for all students. Schools should receive equal funding, have the same curriculum, and offer easily accessible resources to students. The academic success of students drives their futures. Enhancing the education received by black communities will promote better economic/socio economic standings for black americans.","In the legal system, reward people for making unbiased decisions when creating algorithms and penalize them for making racially biased decisions. This will encourage people in higher up positions to make less biased decisions that can lead to a more systemic change.", Another way we change and address this problem to prevent racial discrimination in algorithms to take extra caution when creating a proxy variable. The developing company should create a test which people need to take before being considered for creating a non-racist algorithm. Implementing two different teams will increase the chance of making an algorithm that isn't racist Create a system that implements supervision on the work being developed. ,10000000000,42000000000,10000000000,38000000000,"No, $100 billion is not enough money to address the problem we are seeking to solve. Our group looks to place emphasis on the structural aspect of the issue. Changing the education system in America alone would surpass the 100 billion budget by far. Realistically this would take national budget allocation due to the complex nature of this issue. "
9/23/2021 10:17:59,B3-3,A more diverse group of people collecting and analyzing data. Having more of an understanding of the data and making sure it isn't skewed in any way. Potential issues like incorrect data would be solved by switching out the people and getting more data.,Equal funding for all schools is one way to fix structural racism. Building more schools or donating more money to renovate schools. Potential issues would be solved by consulting local authorities.,Campaigns to give awareness and making sure minorities know their voices are being heard. The more awareness brought to this long lasting issue will promote more change. Setting up protests and using social media to spread the word about these types of protests. Potential issues would be people's contradicting views. To tackle that problem we would just keep going. ,"One way to fix racist technology is to make sure police are spread out. An app like Predpol but instead of tracking the location of crime, they should track the location of police to make sure there is a normal amount in one area at once. This would help stop over policing. Getting more police and collecting more data on the police.",20000000000,30000000000,10000000000,15000000000,"Yes, 100 billion dollars would be enough. The majority of the funding would go to the education system. Making more schools, rebuilding old buildings and giving a quality education would be the most expensive. We would have about 25 billion dollars left over, which we could spread across all the problems solutions. Education would get the most money because it is the largest scale. There are thousands of schools so this would be the hardest to do without a good budget."
9/23/2021 10:10:57,B3-4,"At a young age in our schools we should teach our kids more about minority history. Teach the kids to be better early on, teach them not to judge people on how they look but how they act as a person.","The best way we could tackle this problem is by putting a term limit on our congress, senators and representatives, and get younger people of all races and different demographics to represent our people. We need fresh ideas to circulate around the government instead of all the old ideas that have just been being reused.","Housing in America has been a major source of discrimination and racial profiling in the past. This could be reformed by having affordable housing everywhere. And not allow discriminatory HOA and other agencies to keep their neighborhood segregated. This would make communities more inclusive and have a variety of races, instead of having a majority. In addition to this, a regulatory board would be set up in each state, as well as nationally to enforce new rules and not allow discrimination. ","There are many problems with different proxy variables in today's society, one solution is that we augment education to spread light on the fact that racially biased proxy variables, whether intentional or not, may have a negative impact on our community as a whole.",20,20,20,40,"Yes, because if the money is properly allocated it will have a trickle down effect and be useful for all of the categories, in order to start to solve the problems mentioned. This money will be used to organize and effectively create change."
9/23/2021 10:25:06,B3-5,"People should be more aware of racism historically and the obstacles put onto people's paths. I would not just talk about black people's history with racism but also include other cultures because that's a biased way to discuss the history of racism. Almost all ethnic groups have dealt with racism, just some more than others, and being taught about racism with other ethnic groups helps get a more in- depth understanding of it.","Society will always separate people on a structural level based on their wealth, religion, education, race, etc. We can stop racial biases and discrimination on certain groups of people by seeing them as universally equal rather then separating them based the identity that makes them. When we separate people into groups, there will always be a dominant group and minority group and as a result there will always be some sort of racial or “identorial” discrimination.","Well everyone has their own type of bias regardless of whether or not they want to show it. There is always the possibility of a person's bias coming into play when making an algorithm. We can avoid this by having multiple groups of people from different backgrounds work on a single algorithm that way there wouldn't be any ""profiling"" or discrimination against a certain group.",Technology will always be a part of society and will always be targeted at certain people. If we remove this “target variable” then there is the potential of racial inequality decreasing at a technological level. An example of this would be algorithms and programs that are made to track certain groups or even just individuals.,25,25,25,25,"Yes, I think $100 billion is more then enough to solve our problem. My initial solution actually doesn't even require that much money. If we take the solution of teaching children at a young age in school, then we don't really need extra money. Teachers would already be on regular payroll and no extra money would be needed. But I were to do a combination of all the different solutions, then I think we would need a little more money. "
9/23/2021 14:56:26,B4-1,"History cannot be changed, only used as an example. An example of what not to do in the future. We must behave with precaution while learning about previous hate-filled actions in order to avoid following the same paths. Implementing anti-racial behavior through teaching will help others think anout how our actions will affect other groups of people before we. ","As a society, we can speak up louder and louder until our politicians and lawmakers change the fundamental laws to specifically punish discimination and racism. Sure the laws of our country aren’t racist or discriminatory anymore, but they also don't condemn those who are racist. These laws basically let racists be discriminatory as long as they don't break the specific law. We can fund groups that specifically want to address the problem of discrimination in our laws and have them hire lobbyists.","The human element of racism might be the most important place to try to create change in our society. No matter what we do in the society/structures, history, and technological elements of this problem, nothing will change if everyone isn't willing to change with it. To that end, a way we could solve the human problem of racism would be to change people's disillusions about race and inform them about human equality and how to respect other people.  The execution of this would be to go to sources of information that people rely on the most, this would be social media, influencers, advertisements, and people that many respect such as celebrities. Then we would need to weed out the ones who are racist using some sort of test and find the most neutral ones. Then we would have to spam advertisements posts and have people sponsor messages that relate to equality and human rights. We would take experts on the topic of inequality and put them on the forefront of the movement and force people to listen to them because time and time again we have been shown that people would rather ignore a problem than face it. By forcing people to face the issues in society they would need to admit that there are problems that exist and would eventually subconsciously or consciously make decisions that would help in the fight against racism.","We can combat technological racism through data filtration. Making an AI that will detect racial biases(as in if there's an unusal activity in the data if black or other colored people have been arrested or accused of crimes more in a area the AI will run its program to try figure out if it was actually a right claim). Ground investigations should back up algorithm based activity. There should be a willingness to acknowledge mistakes and take action in attempts to improve said technology. Finally, teach the people behind the program builds. Make them take courses about anti-racism. Get the help of historians and use a divers set of proxy variables. ",10,20,10,60,100 billion is definitely not enough money to address the problem. A measly 100 Billion is not going to solve hundreds of years of racism built into our society. Throwing money at a problem is such a U.S. way of doing things. We think the most effective way would be activism from people.
9/23/2021 14:53:20,B4-2,"There is no way to bring about meaningful change until it can be enacted by people who hold tangible power, rather than intangible power (as in cultural/social privilege). American politics is notorious for resisting change through the means of blocking legislature. We need to remember that these people are elected officials who represent the interest of their constituency. So, some change needs to occur that threatens the election of individuals who propagate racism in the legislature. This can be done by diversifying areas from where these individuals are elected from. Not only will it make for a fairer demographic, but integration of POC and people who make racially charged political decisions will also potentially foster inter-community bonds.","At a structural level racism exists due to the fact that back when cities were developing, people would not sell their property to African Americans or other minority groups. This resulted in structural racism, or geographically divided cities based on race. One way to end the racism built into American society could be by increasing opportunities to those inside of the redlined neighborhoods. This could be through something such as offering more aid for the schools to provide the students with a better quality education, creating more students in search of professional careers, which would result in a higher income that would allow them to leave or improve upon their neighborhoods. This would lessen and eventually eradicate the structural divide in the nation amongst whites and minorities, resulting in more diverse neighborhoods which would lead to less racist arrests due it being harder to target one specific neighborhood with a minority majority. ","We may address the problem by bringing it to attention and informing others on how the decision has impacted our society now, for example in marginalized societies. To be aware of the fact that there is a problem and what it is and where it comes from. Therefore, find the root of the problem and fix the problem from there. Although this will result in a full reconstruction of our society and how things are viewed inside it.","We would address/change the fact that ""the algorithm developers chose a proxy variable that had racial bias"" by actually adding more diversity to the AI field itself as underrepresented groups would be more attuned to tending to any existing bias in an algorithm. ​​The solution here is diversity - scholars who can look over and understand what the algorithm means for minorities must be integrated into the developing team, and thorough testing with every possible case of data must be done (re-evaluation).",10,64,10,16,"We think that 100 billion is not enough money to address the problem we seek to solve, because the more money that we have, the more effective we could be in our campaign to end racism. For example, 97.8 billion dollars goes to New York City each year, and we feel as if it should be more money due to the fact that we are tackling a nationwide problem, not just a problem in one city. 500 billion dollars would be much more effective in solving the problem of racism in America, as most of this money would be allocated towards the structural category, meaning the funding of schools and education inside of the segregated areas of the nation. We believe this would be the most important category to fund because it costs the most money to ensure that each child is granted an equal opportunity to get high paying jobs that would get them out of poverty, resulting in a breaking down of barriers between segregated cities in America. "
9/23/2021 15:06:34,B4-3, Illustrate the consequences when people were treated unequal and discriminatory in the past and what people like under an unequal and discriminatory society. Express these ideas or solutions to more people and make them learn things from it. ,"American society has always been divided primarily because of its history with people of color. A solution to this problem is for Americans to pay back reparations for all injustice done in the past. These reparations should be invested in public school funding and community centers that teach people to trade because this will encourage more young people to stay in school instead of dropping out, and it might mean that fewer teens turn to gang-related activity. Which lessens the amount of police roaming the neighborhood. And keeps the neighborhood from being a redlining zone. And over time minorities build wealth. ","To eliminate racial prejudice we have to call out all the racist jokes and statements that people make. By doing this, people will then realize that racial jokes are offensive to others, and would try to refrain from making them. We should have lessons talking about racism within our communities and workspace. Talking about uncomfortable topics and getting to the root of it. Giving ideas and suggestions to change how racial biases are in our workspace. Standing up for people who are being unjustly wronged.","Give the number of arrests in an area with the data of where the police were portoling when this is happening. That way the algorithm can recognize if an area had over-policing, which it would know results in more arrests [effect of over policing from CNBC report “How AI Could Reinforce Biases In The Criminal Justice System”]. It would also recognize if a location has zero or very few reports if it is because there are no potrols there. The algorithm would be able to balance it accordingly with over-policing and underpolicing being calculated.",20,50,20,10,"To fix this issue of racism the majority of the solutions come from reforming the educational system. To get a national change in education would mean a lot of restructuring which would cost a lot of money. For example a higher education level attained correlates positively with the financial stability a person has. Minorities tend to have lower attained education levels than their white counterparts. And so by getting better resources in school to learn and providing more opportunities for minorities to further their education and introduce them to higher-paying jobs and benefits which will allow them to build generational wealth. 100 billion is not enough money to address educational inequality because we would have to provide free equal education to all minorities nationally, which would cost a lot of money. As Well as restructuring how schools are teached to talk about racism more often and teach students how it can be addressed."
9/23/2021 15:03:07,B4-4,"If American society has been historically unequal and discriminatory, then we should act to address the problem now, because the past cannot be changed but the present and the future can be determined through our actions that we make today. One thing that could be done is create new algorithms to replace the current ones that do not favor any race, and feed it data that has a lot of variety and no particular bias toward any race. One potential challenge could be that the data itself is limited to one specific race and unintentionally become racist, but that can be overcome by reducing that amount of data given to the algorithm by sorting out the irrelevant data within the biased data.","Racism nowadays can be subtle but impactful. We believe an algorithm should be built to analyze statistics concerning social structures and services to find patterns of racism. The agencies that are found racist can then be further investigated and fixed on a case by case basis. This algorithm would essentially take on investigating institutions that make the most impact on people’s lives (i.e. banks, medicine dispensaries, real estate) and look to see if anything is happening to people of a certain race proportionally more than other people. Inherent disadvantage would be investigated. The maintenance and investigation would be government run, and large institutions would be required to give it their data for analysis. One problem could be institutions doctoring their data. In this context, doctoring of data would be highly illegal. Institutions could have their vendoring rights at stake if they do not comply.","To change the fact that officers are over policing in black communities and leading to a racial bias when they are making arrests, we can push companies to create more efficient algorithms that can make decisions with the least amount of bias. We can also try to show officers the data of over policing in black communities and how this is leading to arrests that can be seen in a racially biased stand point. We could create this change by collecting new data by not over policing in areas and getting an accurate reading of where crime is and where we need police officers more, not just in primarily black communities. A potential challenge that we might face is allowing human bias to interfere with the new data being collected and allowing that to be put into the algorithm which can then cause over policing in areas that were caused by human bias in certain areas.","By configuring the proxy variable to target a much larger area with a variety of races so that the variable has no racial bias towards any group of minorities. I would do it by eliminating any racial biased examples the algorithm has and replace it with examples that are not specific to any race, and try to not specify any race to any crime so that the algorithm does not rely on race to determine suspects. We can face any potential challenges by monitoring the effects that the new proxy variable has on the algorithm to determine whether the change fixed the racial bias or not. This way we can configure the proxy variable again before it affects people.",15,35,20,30,"$100 Billion may be enough money to address the problems that we’re currently looking at, however if the problem takes more time and resources to solve then we can easily surpass that $100 Billion budget. Starting up new government agencies can be particularly expensive, and doing so might even end up taking up half of the budget. Some of the solutions described above are similar enough to be created simultaneously and under the same management, life for the Structural and Technological solutions."
9/23/2021 14:57:28,B4-5,"An influential and impactful way to address/change the fact that American society has always been historically unequal and discriminatory towards minorities, especially African Americans, is giving more opportunities to minorities. As seen in the ""IP student video,"" one of the students explained the impacts and gravity of ""Redlining"" which, ""... the effects of racist initiatives, such as redlining, and how it affected people to this day in regards to the funding in which their middle school or elementary school received, which oftentimes were zoned based on where they lived. Unfortunately, the quality of the education lacked in areas where people were poor, and oftentimes these areas were mostly populated with people of color or minority groups."" Unfortunately, fixing the grave mistakes and damage of redlining is no easy feat, in which solutions could take decades to be implemented, however, offering more opportunities such as jobs and better education to minorities that are still impacted by the effects of redlining can allow them to have a better chance of succeeding in the United States.","To take a simple example, there was a psychological experiment. They prepared 5,000 fake resumes, half with ""traditional white names"" and the other half with ""traditional black names"". Everything on the resume is the same except the name. It turned out that resumes with white names were 50 percent more likely to be invited for an interview than those with black names. That doesn't necessarily mean corporate HR managers are racist. It is likely that they do not consciously reject black names on their resumes, but because of subconscious bias. So my solution is that people need to think about whether a decision makes sense before they make it. You can't be racist because of some subconscious point of view. What the government needs to do is to ensure that everyone has equal access to police and education.","One way to address racism at a human level is by having diverse groups of people coming together and comfortably addressing each other's differences, along with finding a middle ground in commonalities they might share. At the end of the day, structural racism ends up in the hands of humans and their thinking, as enforcing a fair and equal structure is up to the people to follow. Having a society where everyone embraces each others' similarities and differences is a good starting point to prevent future racism. This solution of having people understand each other's differences and similarities will improve people's decision-making and help get people to educate themselves with unfamiliar topics about different races, instead of unintentionally expressing racist views. One way to go about this is by having fun and/or informational programs which combine different groups of people.  Producing popular books and websites to help educate different cultures and traditions of different groups is another way to go about this.","One way to fix this issue would be to alter the crime report data to remove the racial bias associated with it. If we could find an accurate correlation between the number of on-duty officers in an area and the rate at which crimes are reported by comparing different sets of crime report data, we can adjust the data to represent what it would look like if over-policed areas weren’t over-policed. A more accurate way of doing this would be to create unbiased data by putting the same number of officers in every community that they overlook for a certain period of time. We can then look at the crime report data knowing that racially influenced over-policing wasn’t a factor in the outcome, allowing it to be used for the algorithm.",30,50,15,45,"No, 100 billion is not enough to address the problem. All of our solutions involve lots of new jobs and infrastructure that need to be put in place to make the change. We would need more funding for  Historical, Structural, and Technological changes. The extra funding would go towards new buildings, advertising, payment for all people involved, payment for studies, establishing a revised educational system, and more. Overall, bringing change to American society would be rigorous and expensive, but ultimately worth it.
"
10/8/2021 13:26:44,C1-1,"Teaching the future generations is important in changing the course of our future. We should teach more critical race theory, and allow for future generations to see past our skin color. Start at a young age since young minds are more malleable, we can change their views easier. Enlighten them about our entire history, no sugar coating. "," Racism has existed since slavery and even before that, and we need to acknowledge the fact we can’t change this overnight. We should also look for a more equal justice system, and equality for all rather than the few. Having a more equal set of data instead of overruling with bias, we need more equality in the workforce, and every aspect of society. Know that people will react how they want to. Give more funding to schools that are lacking the funding they need, and stop giving the wealthy districts better education.","Educate the masses on how to make better choices that aren’t racially biased. Changing people's understanding to the idea of racism. Online courses that every citizen has to take in order to know what racism is. Learn from the day of listening in Canada, we should have a day where every American has to listen to our entire history not just the victorious white guy. Have people who have suffered come and talk to local high schools","We can’t fix the past algorithms, but we can work towards eliminating them for future generations. We could make standards for creating future algorithms. By making regulations that wouldn’t allow racial bias to be a factor when making an algorithm. Have a program check the data that is being given to an algorithm. Also there could be regulations that make sure there is no exceeding limit of bias or racism.",10,25,30,35,"We feel that 100 billion would not be enough because of how big this problem is. There is more damage done to society than a 100 billion can fix. We need to make more changes to society and 100 billion will not suffice. We need more funding for technology and humans.
"
10/8/2021 13:27:16,C1-2,"We cannot change history, but we can make the future. The history of racism is affecting the present, and people should prevent that from happening. People should learn the history of racism, realizing that it is still existing in the society today, and should be aware that everyone in the society is responsible to stop racism passing on and history should be taught to the next generation.","Racism is built into society, families, and people. Children growing up in an environment that is racist or are biased to certain groups of people, he/she will be more likely to grow into a racist person. School is the easiest and most efficient way to educate the next generation, but anything outside of school such as family and the government won’t have power to control. In order to change the whole society or a generation will contain a large amount of effort, money, and time.","Obviously human interference with algorithms exists, I don't believe that the elimination of racially biased opinions exists because as long as people have their own consciousness, they will have biased opinions. Racism is absolute and it can not be terminated from society, it can only be improved and reduced by social events and allowing people to actually acknowledge the seriousness of the problem.","Racism at the technological level is some that can come  from the data that humans provide. The solution that can be used in a technological structure can be that the data that is provided for anything  or something important in general  has to be some that does not take in past data. Meaning that the technological side of how we address racism should be updated every year so like how much of the software that we use. When taking past data as an input to train AI, we should integrate algorithms that identify possible biases that exist in the data, eliminate biases, and monitor the training process, which should effectively prevent AI algorithms becoming racist.",20,40,10,30,"
100 billion is not enough money to address the problem we seek to solve. It’s a long-term change that needs more than 100 billion and more than just money. We would allocate the majority of the extra funding to the structural category because the solution we have for the structure of the society is very costful and that it will take plenty of extra money to accomplish the solution.
"
10/8/2021 13:24:34,C1-3,By giving money to lower income people of color they will then be able to better fund their schools. This gives their children a better education and these schools will teach about the racist principles that have been a part of this country since its founding. One challenge that could arise could be that teaching about the racists ideas and principles in our country could lead to children identifying with those same principles. Another challenge is that there could be teachers who don’t want to teach about these topics. One way to solve these challenges is to have schools undergo yearly checks of their courses to ensure these classes are being taught the way they should be.,Making a new algorithm that searches for more unbiased officers and uses it in conjunction with another that based on a report checks if the person accused has actually broken the law. One challenge would be finding a perfectly unbiased officer and one solution to this is measuring the bias and trying to keep officers chosen within a certain tolerance.,Try to find larger and more diverse groups of people to review the data chosen for the algorithm. Educate the people making these decisions about how their decisions were biased and how to prevent that in the future. One challenge to this would be that some individuals wouldn’t be changed.,Change the target variable of the algorithm to be material needs of communities. For this solution the proxy would be theft data in a city so the algorithm can see what is being stolen and then predict what communities need based on that data. These goods could then be sent to these communities using city funds and donations.,30000000000,20000000000,20000000000,30000000000,"This probably wouldn’t be enough money because some of these solutions could become their own industries in the future and expand rapidly leading to many more jobs being created and therefore needing much more financing to pay for the influx of these workers.
"
10/8/2021 13:25:44,C1-4,"Reallocate overfunded programs such as the police towards youth programs, housing programs, food programs to uplift communities of African Americans that were historically depressed.",  Each schooling district will have an equal amount of funding so property taxes don’t influence poor neighborhoods educational funds. ,Focus groups of different ethnicities to survey how they feel about what is used in an algorithm so developers can address the issues.,Change the data that we gather for the algorithms with a data set that is more neutral and “fair”,50,30,10,10,"Our solutions aren’t too financially demanding because the human and technological solutions aren’t cost demanding so most of the money is allocated towards the historical and societal solutions we have come up with and a reallocation of funds rather than increasing the budget substantially.
"
10/8/2021 13:33:45,C1-5,"In the first Impossible Project, in one of the videos (PBS video), it walked us through really old times, showing how the race was being affected by different times/eras. One example would be in the enlightenment era, where White people created documents in order to see if Black People were physically ""white"". It was unequal and discriminatory by the simple fact that each body is built differently and not everyone has the same skeleton structure. For structural racism, it would be with one of the videos, the last one, Dr. Khalil, he told history on how Black people were being criminalized through history by telling parallel history. Another example of structural racism in modern times would be the assassination of George Floyd, who was killed by a cop, Mr. Floyd said multiple times that he couldn't breathe but the cop didn't care. All of these are connected because they are police brutality, I think the way to tackle this is to train cops in a way where they don’t pull up the gun without receiving information of the suspect they have. Maybe taking away guns and just giving them the tazers. More verbal warning rather than just taking out the gun while giving them a verbal warning this could heat up things more and the cop could shoot. ","To change the fact that ""racial biases and discrimination are built into our society at a structural level"", we would have to fix what redlining has done to the black community. Redlining was done in order to keep black people in the same neighborhood that has problems with poverty, gangs, and high crime rates. To attempt to fix this, the government can provide more funding to these areas instead of continuously providing the rich with more unnecessary funds. Giving more attention to schools in these neighborhoods could help benefit the future. A source of quality education is a great way to help out the community in the long run since it was already a step behind. To be specific, the government could try to build at least 1-2 new schools in these areas. More structures like apartments, restaurants, medical centers, can provide the basic needs of people and can also provide new job opportunities. We plan to put at least $30 billion into this category as it takes material and labor to build all of these buildings across all the states where these neighborhoods are. ","Focusing on police reform, this includes more training on de-escalation skills and anti-racist policies. Implement this training on de-escalation into police officers’ training in their academies, make the time spent training longer, and make requirements to join the police more strict. Also, coming up with more policies that would restrict the power given to police officers. There should be more organizations or groups that study this and try to get to the macro level of racism. These groups would focus on promoting anti-racism and educating people as well as getting to the core of the problem. Allocating $20 billion to every state will allow the police force to take a big step in the direction of an anti-racist system. ","Since we know that the proxy variable was past crime reports that were racially biased, a solution could be changing the definition of crime for these machine learning algorithms. For example, does an arrest count as a crime? Or should crime only count towards things like violence and burglary? I believe only serious arrests should count towards what “crime” is. This would change the proxy variable and effectively put the algorithm to its original use, thus not giving out racially biased predictions because the proxy variable was racially biased. Technology is not cheap, so $40 billion will be used in order to create new and non-biased algorithms. ",1000000000,3000000000,2000000000,4000000000,"We feel that 100 billion might not be enough to solve the problem. For example, the cost of building an elementary school is about 5.5 million. Let’s just say we build 200 new schools across all of these neighborhoods. After the construction is completed, we would need to hire teachers, staff members, etc. We expect at least 100 staff members in each school and we would hope these staffs are getting an average salary of 70k per year. When we add the math up, we feel that the structural category would use up most of the 100 billion. The Trillion mark would be a comfortable amount to solve these problems."
10/8/2021 12:12:36,C2-1,"We could change racism, by teaching the new generation about what happened throughout history, so  they can adapt to the new system. We would talk about how people were divided based on color and people didn’t have equal rights.. One way to do so would be to educate individuals in schools starting from a young age since they will be the future leaders and will be the ones influencing our society.","To address racism at the societal level, we would look at the policing systems and what allows the systems to work in a racist way, and rework them. We would do this by reforming  the policing system so they do not allow police officers to target minorities and minority communities, and better training police officers so they are more prepared for facing different situations. Some potential challenges that we would have to tackle would be educating the people and the officers and providing additional training to the police officers who have been working for multiple years.","In order to address the issue of racism on a person by person basis, where decisions relating to arrests contained varying levels of racist bias dependent on the individual in question. As discussed in the Prepol videos, many of the arrests in the data utilized to train the prediction model were either a direct result of racial bias, or influenced by it. With a decrease in human bias in arrests, the data used to train a program such as Prepol is less likely to determine that said racist behavior is an expected norm. ","To address this problem at a technological level, we should test the proxy variable to the max. In the video, the police officers were sent to locations who had prior high crime rates. In some ways, this is not fair because over time, crime rates in neighborhoods change. If there are more cops focused on a certain area, there would most likely be more arrests in that area. The less eyes patrolling a neighborhood, the less crime that will be noticed. Some challenges we might have to tackle is hiring more police officers so that every neighborhood has the same number of eyes patrolling it. By doing this, we will have much more accurate numbers regarding crime. ",38,25,12,25,"We think that 100 billion dollars is enough to address the problem that we seek to solve. We believe that if we distribute the money properly, it can be used for a long time to start up on our mission to address racism. 
"
10/8/2021 12:13:26,C2-2,"The American people must be better educated on the continuous repetition of racism in the United States. One method to tackling this could be through the education system. History curriculums can be reshaped in order to better address the history of racism in America and its effects. Although this won’t have immediate effects, over time the people entering society will be better educated and thus racism will be sure to decline. ","To address racism on a societal/structural level, we can start by encouraging or even making it mandatory that policies are enforced in companies and cooperates to have not only the board executive, but also employers and employees to engage in the history of racial bias and discrimination in the American Society as well as discussions about such matter, in doing so, this will foster a new of thinking on how to address racial bias and discrimination on a structural level. ",In order to address the racism occurring in America it’s important to acknowledge any racial biases or tendencies you may have yourself. Becoming aware of your racial biases can help one learn how to consciously avoid projecting those ideas onto others. ,The algorithms for AI machine learning must be changed with new datasets/information to reduce bias. A method of incorporating new datasets is including all races and cultures into sorting algorithms and algorithms used within our social media platforms and search engines.,10,50,10,30,"100 billion is a good starting point but over time further funding will be needed. In order to truly make a change in all these aspects of society more funding will surely be required. More funding would likely be needed in the history category as revamping curriculums on a nationwide level will be very pricey. Furthermore, in order to sustain the changes made on a structural level, continuous funding will be needed rather than a one time payment. 
"
10/8/2021 12:16:30,C2-3,"It’s important that we teach history from an objective, fair viewpoint. We must address the historical context that has produced our modern-day inequality including slavery, segeration and Jim Crowe Laws. We can incorporate this into our public school curriculum. Potential challenges would be getting teachers on board and involved in this curriculum but to overcome this problem, we should encourage teachers to help shape this curriculum. ",We must unravel what has been built into society at a structural level.  We must acknowledge and reform the flaws in our system that continue to disadvantage minority and low-income populations (i.e the jury and public defense system). There have been acts to prohibit certain issues such as red lining and the Community Reinvestment Act. With redlining we need to give everyone the same opportunity and let things fall into place there rather than automatically cutting off opportunities to certain people making it impossible for them to be educated and grow in life. To get rid of this racism at a structural level we need to stop addressing people as different based on their skin color (and area of wealth?)," Humans must change their way of thinking in order to get rid of this racism. Schools should teach the kids that there is no difference between a white person and a colored person. Everyone is equal, no one should get judged. To get rid of this idea of racism and that people are different, we need to stop addressing people as such. Address them as a person, nothing else. The new generations are the ones who can make a change as they are going to look after everything in future. People from the old generation and present can’t really change as they were raised with the mentality of racism. ","Although algorithms are machines that are told what to do, the proxy variables used with these algorithms cause racist outputs. By diversifying the proxy variables used in these algorithms, technology could become less racist. Data collectors should be encouraged to use datas from different communities which could create diversity as well as consider the potential bias associated with the data they use.",10000000000,55000000000,15000000000,20000000000,"While $100 Billion is certainly a lot of money, it is not enough to address and improve the extensive structural flaws in our country. Public defense, daycare, education, transportation, housing, and more, are all areas that contribute to inequality. The United States is a large country with over 300 million people. Healthcare alone in this country would take several hundred billion dollars to improve. To fix all of the structural flaws in our system, might take in between 1.5-3.5 trillion dollars."
